Year,Fossil Fuels,Renewables,Others
1985,6285.4781,1979.320568,1488.9216
1986,6439.9875,2006.219115,1594.7357
1987,6757.7655,2033.39438,1734.7332
1988,6998.1841,2098.693576,1891.2493
1989,7455.7367,2090.5,1945.0106
1990,7614.6292,2162.874821,2000.596
1991,7722.2179,2213.29343,2096.3098
1992,7807.5196,2213.658691,2112.223
1993,7858.3298,2347.720547,2184.9646
1994,8119.1229,2363.931713,2225.9788
1995,8335.2589,2492.597806,2322.5298
1996,8626.9507,2526.944831,2406.615
1997,8911.3345,2574.136872,2390.0642
1998,9214.4557,2597.861512,2431.1948
1999,9498.2689,2622.782186,2523.7056
2000,9729.06,2856.78,2521.93
2001,9938.84,2797.53,2591.73
2002,10365.69,2867.81,2637.17
2003,10955.65,2893.44,2581.16
2004,11395.08,3128.33,2701.63
2005,11951.8,3273.36,2700.72
2006,12468.76,3423.45,2735.62
2007,13278.12,3530.9,2680.02
2008,13406.99,3789.04,2667.96
2009,13220.81,3869.72,2632.02
2010,14183.69,4184.27,2701.57
2011,14792.97,4389.73,2586.05
2012,15170.44,4711.75,2407.19
2013,15484.66,5023.06,2423.73
2014,15759.37,5286.02,2473.89
2015,15749.99,5508.11,2504.73
2016,16020.13,5848.05,2544.2
2017,16376.89,6224.54,2568.42
2018,16905.98,6646.43,2621.96
2019,16795.06,6993.55,2726.98
2020,16341.51,7468.75,2636.36
2021,17361.63,7891.72,2749.57
2022,17559.97,8468.98,2632.03
